,DIRECCION,sum_personas,internet,agua,banco,iglesia,dejar_hijos,avg_personas,tiempo_casa,cuantas_trabajan,tiempo_trabajan,pierden_colegio,bautizadas,PADRE,MADRE,F,M,NINOS,MAYORES,primer_hijo,ingreso,household_count,bap_prop,bap_prop_col,ingreso_col
38,LAS MORAS ZONAC,27,0.0,0.4,0.0,1.0,0.6,5.4,8.0,1.4,0.9199999999999999,0.2,2.4,0.6,1.0,2.4,2.6,3.0,0.0,19.0,930.0,5,0.4444444444444444,medium,high
39,CERRO AZUL - NUEVA RINCONADA,27,0.0,0.16666666666666666,0.0,1.0,0.3333333333333333,4.5,3.1666666666666665,1.8333333333333333,1.7,2.0,2.3333333333333335,0.6666666666666666,1.0,2.6666666666666665,1.8333333333333333,2.6666666666666665,0.0,21.5,750.0,6,0.5185185185185186,medium,medium
40,NUEVA GENERACION,27,0.6,0.8,0.0,1.0,0.0,5.4,13.4,1.4,0.6,1.5,2.5,0.4,1.0,2.6,2.0,2.2,0.2,18.0,750.0,5,0.4629629629629629,medium,medium
41,BELLAVISTA 1,26,0.4,0.8,0.0,0.6,0.6,5.2,7.6,1.2,1.1,0.6666666666666666,1.8,0.8,1.0,3.0,1.8,2.6,0.0,19.0,800.0,5,0.34615384615384615,low,medium
42,LOS PORTALES,26,0.0,0.8,0.0,0.8,0.0,5.2,16.0,1.4,0.9,0.0,3.6,0.6,1.0,2.0,1.6,1.4,0.0,20.0,850.0,5,0.6923076923076923,high,high
43,VILLA SAN JUAN II,26,0.0,1.0,0.0,1.0,0.8333333333333334,4.333333333333333,16.5,1.5,1.25,1.8333333333333333,2.5,0.16666666666666666,1.0,1.6666666666666667,1.8333333333333333,2.0,0.0,25.5,425.0,6,0.576923076923077,high,low
44,LADERAS DE STA CRUZ,25,0.0,1.0,0.0,1.0,0.0,5.0,15.0,1.2,0.9,1.6,3.6,0.8,1.0,2.2,2.0,2.2,0.0,22.0,650.0,5,0.72,high,medium
45,EL TREBOL SANTA TERESITA NIÌÎÌÓO JESUS,24,0.0,0.2,0.0,1.0,0.2,4.8,12.6,1.0,1.2,0.2,4.8,0.8,0.6,2.4,2.6,3.4,0.2,18.0,850.0,5,1.0,high,high
46,VILLA LAS TUNAS,23,0.0,1.0,0.0,1.0,0.8,4.6,18.0,1.0,1.625,2.5,3.6,0.6,0.8,2.2,2.4,2.4,0.2,21.5,800.0,5,0.782608695652174,high,medium
47,LAS AMERICAS,23,0.0,0.0,0.0,0.2857142857142857,0.0,3.2857142857142856,17.428571428571427,0.6666666666666666,0.2,,2.5,0.42857142857142855,1.0,1.8571428571428572,1.2857142857142858,1.4285714285714286,0.0,18.0,400.0,7,0.7608695652173914,high,low
48,SENOR DE LOS MILAGROS,22,0.0,1.0,0.0,1.0,0.75,5.5,15.0,1.75,1.6666666666666667,3.0,1.6666666666666667,0.5,1.0,3.0,2.0,3.0,0.0,21.0,535.0,4,0.30303030303030304,low,low
49,C16 LA NUEVA JUVENTUD,22,0.0,1.0,0.0,1.0,1.0,5.5,12.0,1.0,0.3625,2.25,2.75,0.25,1.0,2.5,3.0,4.0,0.0,20.0,410.0,4,0.5,medium,low
