,FAM_N,DIRECCION,PADRE,MADRE,F,M,NINOS,MAYORES
414,737,VILLA SOL PARTE BAJA,1,1,3,3,3,0
203,290,VILLA VICENCIO,1,1,3,2,3,0
451,776,VIRGEN DEL BUEN PASO,0,1,3,0,2,0
446,770,VIRGEN DEL CARMEN,1,1,3,2,3,0
452,777,VIRGEN DEL CARMEN,0,1,2,2,2,0
454,779,VIRGEN DEL CARMEN,0,1,2,1,2,0
184,271,VISTA ALEGRE,1,1,3,2,2,0
185,272,VISTA ALEGRE,0,1,4,0,3,0
186,273,VISTA ALEGRE,1,1,3,1,2,0
187,274,VISTA ALEGRE,1,1,3,3,2,1
188,275,VISTA ALEGRE,1,1,4,2,2,0
189,276,VISTA ALEGRE,0,1,3,0,2,0
190,277,VISTA ALEGRE,0,1,4,4,7,0
191,278,VISTA ALEGRE,1,1,2,2,2,0
